iter	Passed	Remaining
0	3	340
1	6	332
2	10	323
3	13	319
4	16	315
5	20	315
6	23	307
7	26	301
8	29	298
9	32	291
10	35	288
11	38	283
12	41	280
13	45	278
14	48	275
15	51	271
16	54	268
17	58	267
18	61	264
19	64	257
20	66	250
21	68	242
22	70	235
23	72	229
24	74	223
25	76	217
26	78	211
27	80	206
28	82	200
29	83	195
30	85	191
31	87	186
32	89	180
33	90	175
34	91	169
35	92	164
36	93	159
37	94	154
38	95	149
39	96	145
40	97	140
41	98	136
42	100	132
43	100	128
44	101	124
45	103	120
46	104	117
47	105	114
48	106	110
49	107	107
50	108	104
51	109	101
52	111	98
53	112	95
54	113	92
55	114	90
56	115	87
57	117	84
58	118	82
59	119	79
60	119	76
61	120	74
62	121	71
63	122	69
64	123	66
65	125	64
66	126	62
67	126	59
68	127	57
69	128	55
70	129	53
71	130	50
72	131	48
73	132	46
74	133	44
75	134	42
76	135	40
77	136	38
78	137	36
79	138	34
80	139	32
81	140	30
82	140	28
83	141	27
84	142	25
85	143	23
86	144	21
87	145	19
88	146	18
89	147	16
90	148	14
91	149	13
92	150	11
93	151	9
94	152	8
95	153	6
96	154	4
97	155	3
98	156	1
99	157	0
