iter	Passed	Remaining
0	145	145648
1	149	74729
2	154	51337
3	158	39426
4	166	33085
5	168	27854
6	169	24026
7	171	21218
8	172	18978
9	173	17173
10	174	15716
11	176	14500
12	177	13457
13	178	12566
14	180	11843
15	181	11178
16	182	10578
17	184	10040
18	185	9560
19	186	9127
20	187	8742
21	188	8386
22	189	8061
23	190	7762
24	192	7488
25	192	7229
26	194	6996
27	195	6770
28	195	6561
29	196	6366
30	197	6184
31	198	6012
32	199	5850
33	200	5699
34	201	5560
35	202	5425
36	203	5297
37	204	5176
38	205	5061
39	206	4951
40	207	4846
41	208	4748
42	209	4654
43	210	4564
44	210	4477
45	211	4393
46	212	4314
47	213	4238
48	214	4166
49	215	4098
50	216	4031
51	217	3966
52	218	3904
53	219	3843
54	220	3785
55	221	3729
56	222	3675
57	223	3623
58	224	3572
59	224	3523
60	225	3475
61	226	3429
62	227	3385
63	228	3341
64	229	3300
65	230	3260
66	231	3221
67	232	3183
68	233	3146
69	234	3110
70	235	3075
71	235	3041
72	236	3007
73	237	2975
74	238	2943
75	239	2912
76	240	2882
77	241	2852
78	242	2823
79	243	2796
80	244	2769
81	245	2744
82	245	2713
83	246	2688
84	247	2663
85	248	2639
86	249	2616
87	250	2593
88	251	2570
89	252	2548
90	252	2526
91	253	2505
92	254	2484
93	255	2464
94	256	2444
95	257	2424
96	258	2405
97	259	2386
98	260	2367
99	261	2349
100	261	2331
101	262	2314
102	263	2297
103	264	2281
104	265	2264
105	266	2248
106	267	2233
107	268	2217
108	269	2202
109	270	2186
110	271	2172
111	272	2157
112	273	2143
113	273	2129
114	274	2115
115	275	2101
116	276	2086
117	277	2073
118	278	2060
119	279	2047
120	280	2035
121	280	2021
122	281	2009
123	282	1997
124	283	1985
125	284	1973
126	285	1960
127	286	1951
128	287	1940
129	288	1929
130	289	1919
131	290	1908
132	291	1897
133	292	1887
134	292	1877
135	293	1866
136	294	1857
137	295	1847
138	296	1837
139	297	1828
140	298	1818
141	299	1807
142	300	1798
143	301	1789
144	301	1780
145	302	1771
146	303	1762
147	304	1753
148	305	1744
149	306	1736
150	307	1728
151	308	1719
152	309	1711
153	310	1703
154	310	1695
155	311	1687
156	312	1679
157	313	1672
158	314	1664
159	315	1656
160	316	1647
161	317	1640
162	317	1632
163	318	1625
164	319	1618
165	320	1611
166	321	1604
167	322	1597
168	323	1590
169	324	1583
170	325	1576
171	326	1570
172	327	1563
173	328	1557
174	328	1550
175	329	1544
176	330	1538
177	331	1531
178	332	1525
179	333	1519
180	334	1513
181	335	1507
182	336	1501
183	337	1495
184	338	1489
185	338	1483
186	339	1477
187	340	1471
188	341	1465
189	342	1460
190	343	1455
191	344	1449
192	345	1444
193	346	1438
194	347	1433
195	348	1427
196	349	1422
197	349	1417
198	350	1412
199	351	1406
200	352	1401
201	353	1396
202	354	1391
203	355	1386
204	356	1381
205	357	1377
206	358	1373
207	359	1369
208	360	1364
209	361	1359
210	362	1354
211	363	1350
212	364	1345
213	365	1340
214	365	1336
215	366	1331
216	367	1327
217	368	1322
218	369	1317
219	370	1313
220	371	1309
221	372	1304
222	373	1300
223	374	1296
224	375	1292
225	376	1288
226	377	1283
227	377	1279
228	378	1275
229	379	1271
230	380	1267
231	381	1263
232	382	1259
233	383	1254
234	384	1250
